Desempleo,Mujer,EdadJun24,roa,tep_descripcion_clean,SinEduc,Primaria,Secundaria,Superior,apo_salario,Antiguedad,Nivel_Educacion,Genero
1,1,27,-11.027313,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,471.0,1,Secundaria,Mujer
0,0,23,6.4434705,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,460.0,13,Secundaria,Hombre
0,1,62,0.0,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,460.0,41,Primaria,Mujer
1,1,33,8.373598,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,500.0,35,Primaria,Mujer
0,1,31,-13.595748,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,0,1,600.0,29,Superior,Mujer
1,0,45,-3.2613533,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,0,1,1155.0,193,Superior,Hombre
1,0,25,6.1896043,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,465.0,16,Primaria,Hombre
1,0,69,28.602795,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,900.0,57,Secundaria,Hombre
0,0,54,2.4701867,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,0,1,1500.0,119,Superior,Hombre
1,0,38,0.28832525,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,0,1,700.0,33,Superior,Hombre
0,0,40,0.0,"FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO",0,0,0,1,1212.0,123,Superior,Hombre
1,1,26,0.0,"FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO",0,1,0,0,901.0,5,Primaria,Mujer
1,1,44,0.0,EMPLEADOR DOMESTICO,0,0,1,0,460.0,49,Secundaria,Mujer
1,0,40,0.0,"FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO",0,0,0,1,1086.0,47,Superior,Hombre
0,0,66,0.0,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,1600.0,144,Primaria,Hombre
0,0,37,2.3506303,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,461.0,61,Primaria,Hombre
1,0,24,0.0,"FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO",0,0,1,0,1394.0,0,Secundaria,Hombre
0,0,30,-17.746204,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,460.0,41,Secundaria,Hombre
1,1,43,0.0,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,0,1,700.0,9,Superior,Mujer
1,1,61,0.0,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,0,1,1100.0,1,Superior,Mujer
0,1,30,0.0,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,0,1,510.0,34,Superior,Mujer
1,0,36,0.0,EMPRESA UNIPERSONAL /  PEQUEÑA INDUSTRIA,0,0,1,0,460.0,1,Secundaria,Hombre
1,1,32,0.0,ENTIDADES PUBLICAS CON AUTONOMIA,0,0,0,1,1676.0,10,Superior,Mujer
0,1,43,0.0,"FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO",0,0,0,1,817.0,45,Superior,Mujer
0,1,34,3.155199,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,475.0,170,Secundaria,Mujer
1,0,30,12.3243475,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,463.0,8,Secundaria,Hombre
1,1,39,0.0,ENTIDADES PUBLICAS CON AUTONOMIA,0,0,0,1,1676.0,10,Superior,Mujer
1,0,20,0.0,EMPRESA UNIPERSONAL /  PEQUEÑA INDUSTRIA,0,0,1,0,471.0,1,Secundaria,Hombre
0,0,45,0.0,ENTIDADES PUBLICAS CON AUTONOMIA,0,0,0,1,1035.0,97,Superior,Hombre
1,1,30,0.0,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,480.0,11,Secundaria,Mujer
1,1,45,-10.300123,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,800.0,38,Secundaria,Mujer
0,1,59,0.0,"FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO",0,0,0,1,817.0,108,Superior,Mujer
1,1,30,0.0,ENTIDADES PÚBLICAS DE EDUCACIÓN SUPERIOR,0,0,0,1,838.0,2,Superior,Mujer
0,0,57,-1.9434208,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,460.0,104,Primaria,Hombre
0,1,35,0.0,"FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO",0,0,0,1,2641.0,31,Superior,Mujer
1,1,40,0.0,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,1,0,0,0,1112.0,26,Sin Educación,Mujer
0,0,37,0.0,ORGANISMOS DEL REGIMEN SECCIONAL,0,1,0,0,578.0,44,Primaria,Hombre
0,1,44,0.0,ORGANISMOS DEL REGIMEN SECCIONAL,0,0,1,0,702.0,53,Secundaria,Mujer
1,0,25,7.035242,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,471.0,13,Primaria,Hombre
1,1,27,0.0,COOP AHORRO  CRED. VIVIENDA ETC.CONTR SUPER  DE BANCOS,0,0,1,0,550.0,61,Secundaria,Mujer
1,0,20,4.048972,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,460.0,0,Primaria,Hombre
1,0,60,0.0,ENTIDADES PÚBLICAS DE EDUCACIÓN SUPERIOR,0,0,0,1,2266.0,87,Superior,Hombre
0,0,53,0.0,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,0,1,1253.0,234,Superior,Hombre
0,0,58,13.2990265,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,465.0,4,Primaria,Hombre
